frame_id,round_id,model_type,total_time_ms,forward_time_ms,postprocess_time_ms,data_to_gpu_time_ms,success,skip_reason
433,1,baseline,23.209,11.956,3.618,7.634,True,
434,1,baseline,22.439,12.106,3.615,6.718,True,
435,1,baseline,22.133,12.429,3.633,6.071,True,
436,1,baseline,55.492,45.595,3.785,6.112,True,
437,1,baseline,38.511,21.172,3.685,13.654,True,
438,1,baseline,21.631,11.859,3.561,6.21,True,
439,1,baseline,22.66,12.886,3.673,6.101,True,
440,1,baseline,22.256,12.69,3.639,5.926,True,
441,1,baseline,23.156,11.689,3.511,7.955,True,
442,1,baseline,21.61,11.691,3.545,6.374,True,
443,1,baseline,24.421,14.506,3.952,5.962,True,
444,1,baseline,42.151,31.624,3.989,6.539,True,
445,1,baseline,23.364,11.904,3.735,7.724,True,
446,1,baseline,28.509,11.952,10.397,6.16,True,
447,1,baseline,39.691,18.704,3.852,17.135,True,
448,1,baseline,30.905,18.62,3.752,8.532,True,
449,1,baseline,24.112,12.687,3.653,7.773,True,
450,1,baseline,22.638,12.385,3.733,6.519,True,
451,1,baseline,77.421,67.11,3.826,6.484,True,
452,1,baseline,22.389,12.279,3.76,6.349,True,
453,1,baseline,58.394,22.802,9.637,25.955,True,
454,1,baseline,24.078,12.749,3.94,7.389,True,
455,1,baseline,22.454,12.257,3.786,6.411,True,
456,1,baseline,21.566,11.84,3.632,6.094,True,
457,1,baseline,22.558,11.566,3.562,7.43,True,
458,1,baseline,23.964,12.016,3.813,8.134,True,
459,1,baseline,21.84,11.534,4.216,6.09,True,
460,1,baseline,28.353,18.524,3.81,6.019,True,
461,1,baseline,24.149,11.898,4.023,8.228,True,
462,1,baseline,40.306,18.183,3.76,18.362,True,
463,1,baseline,32.684,12.377,3.837,16.469,True,
464,1,baseline,33.543,13.772,13.915,5.857,True,
465,1,baseline,23.051,11.887,3.652,7.512,True,
466,1,baseline,21.459,11.755,3.601,6.103,True,
467,1,baseline,21.174,11.619,3.56,5.995,True,
468,1,baseline,21.673,12.309,3.653,5.711,True,
469,1,baseline,22.577,11.587,3.548,7.442,True,
470,1,baseline,20.674,11.568,3.528,5.579,True,
471,1,baseline,22.316,12.311,3.963,6.042,True,
472,1,baseline,21.013,11.752,3.626,5.636,True,
473,1,baseline,24.638,13.335,3.782,7.521,True,
474,1,baseline,33.956,24.429,3.736,5.791,True,
475,1,baseline,21.687,11.955,3.778,5.953,True,
476,1,baseline,22.719,12.315,4.299,6.106,True,
477,1,baseline,34.097,11.718,14.367,8.013,True,
478,1,baseline,22.582,12.693,3.887,6.002,True,
479,1,baseline,48.988,39.154,3.757,6.077,True,
480,1,baseline,21.813,11.866,3.707,6.24,True,
481,1,baseline,23.761,12.351,3.68,7.73,True,
482,1,baseline,23.034,12.898,3.944,6.192,True,
483,1,baseline,22.043,11.996,3.734,6.313,True,
484,1,baseline,21.48,11.765,3.625,6.09,True,
485,1,baseline,23.228,11.805,3.651,7.772,True,
486,1,baseline,26.516,13.562,4.197,8.757,True,
